Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cin/create/113,505,3,44,835.0506351604396,10.684760000003735,12821.641742999418,3.126732673267327,0.07011155239631162,0.0004165042716612571,44,57,350,980,3100,5200,7300,8900,13000,13000,13000
POST,/cin/create/114,547,4,43,910.5440438299692,9.145388999968418,12356.280906999018,3.093235831809872,0.07594261219956921,0.0005553390288816762,43,82,590,990,3700,5900,8500,9900,12000,12000,12000
POST,/cin/create/115,455,0,46,1107.7410572088309,14.796147999732057,11133.467253001072,3.0,0.06316981453529066,0.0,46,140,810,1400,4300,6700,9200,9900,11000,11000,11000
POST,/cin/create/116,510,1,43,716.2698856705948,13.374993000979885,12728.397733000747,2.9941176470588236,0.07080572618241371,0.00013883475722041905,43,64,330,610,2400,4400,8600,9300,13000,13000,13000
POST,/cin/create/117,536,2,43,1017.9161731492483,11.437670998930116,14094.446443999914,3.0279850746268657,0.0744154298701446,0.0002776695144408381,43,60,360,770,4200,7200,9300,11000,14000,14000,14000
POST,/cin/create/118,548,5,43,921.1255286314083,11.414424001486623,13757.156833000408,3.125912408759124,0.07608144695678963,0.0006941737861020952,43,57,240,710,3600,6400,9000,11000,14000,14000,14000
POST,/cin/create/119,492,2,43,988.4996292499608,15.215756000543479,13183.884160000162,3.0304878048780486,0.06830670055244617,0.0002776695144408381,43,72,450,1200,3800,5900,9000,9800,13000,13000,13000
POST,/cin/create/12,564,3,42,1009.2623019485734,9.439244999157381,14122.238316000221,3.095744680851064,0.07830280307231634,0.0004165042716612571,42,59,380,990,4000,6900,9600,11000,14000,14000,14000
POST,/cin/create/120,541,2,44,992.1261940185182,13.776093001069967,11980.68591899937,3.0277264325323476,0.0751096036562467,0.0002776695144408381,44,77,490,950,3700,6500,9200,11000,12000,12000,12000
POST,/cin/create/121,529,1,42,925.2282830642328,11.362686000211397,12670.89066400149,3.0340264650283553,0.07344358656960168,0.00013883475722041905,42,60,330,760,3300,5400,11000,12000,13000,13000,13000
POST,/cin/create/122,536,2,44,1062.4915334608513,14.524672000334249,14168.84532199947,3.0279850746268657,0.0744154298701446,0.0002776695144408381,44,72,650,1200,4100,7000,9200,11000,14000,14000,14000
POST,/cin/create/123,520,2,44,1064.6345610519138,13.318314999196446,13964.617903000544,3.0692307692307694,0.07219407375461791,0.0002776695144408381,44,110,710,1300,3600,7500,9100,10000,14000,14000,14000
POST,/cin/create/124,544,4,43,867.2765575900531,12.091491998944548,16863.130763998925,3.09375,0.07552610792790795,0.0005553390288816762,43,61,360,780,2800,5400,8900,10000,17000,17000,17000
POST,/cin/create/125,504,1,44,1059.3197644761572,15.437005000421777,11900.340435000544,3.0357142857142856,0.0699727176390912,0.00013883475722041905,44,83,650,1300,4100,6900,9500,10000,12000,12000,12000
POST,/cin/create/126,526,3,45,1049.8024533212852,13.687598000615253,13080.993621999369,3.1216730038022815,0.07302708229794042,0.0004165042716612571,46,86,540,1200,3900,6500,9300,11000,13000,13000,13000
POST,/cin/create/127,512,2,43,959.2034251640181,14.62665399958496,13102.521647000685,3.0703125,0.07108339569685455,0.0002776695144408381,43,70,720,1200,3400,5900,8900,9200,13000,13000,13000
POST,/cin/create/128,519,1,45,1118.4352103930314,13.301529999807826,15543.44222600048,3.0539499036608864,0.07205523899739748,0.00013883475722041905,45,150,720,1500,4000,7300,9800,11000,16000,16000,16000
